level_id,status,title,required_route_count,required_routes,required_sources,required_jacks,equipment,generated_jacks,false_or_misleading_jacks,renderer_notes
LIV-001,non-patch-do-not-convert,Lead Vocal Mic to FOH,3,lead-vocal-mic-to-stage-box-input-1; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in,Lead Vocal Mic,Main L Output; Main R Output; Stage Box Input 1; System Processor L In; System Processor R In,16-channel stagebox; FOH console I/O; Stage source stack; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Sub Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Mic; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 7 unused false option; Stage Box Input 8 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Do not convert to native patch board.
LIV-002,patch-board,Vocal wedge mix 2,2,lead-vocal-mic-to-stage-box-input-1; foh-aux-1-output-to-vocal-wedge-input,Lead Vocal Mic,FOH Aux 1 Output; Stage Box Input 1; Vocal Wedge Input,16-channel stagebox; FOH console I/O; Stage source stack; Vocal wedge monitor,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Talkback Mic; Talkback Output; Vocal Wedge Input,Main output used as unsafe monitor-source trap; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 7 unused false option; Stage Box Input 8 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-003,patch-board,Stereo IEM send 1,2,foh-aux-5-l-output-to-iem-tx-a-left-input; foh-aux-5-r-output-to-iem-tx-a-right-input,,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input,FOH console I/O; IEM transmitter,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; IEM TX B Left Input; IEM TX B Right Input; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Talkback Output,IEM TX wrong pack/input; IEM TX wrong side; Main output used as unsafe monitor-source trap; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-004,non-patch-do-not-convert,Front fill matrix,3,matrix-1-output-to-front-fill-processor-input; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in,,Front Fill Processor Input; Main L Output; Main R Output; Matrix 1 Output; System Processor L In; System Processor R In,FOH console I/O; Front-fill processor; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Front Fill Processor Input; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Sub Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Do not convert to native patch board.
LIV-005,non-patch-do-not-convert,Sub matrix feed,3,matrix-2-output-to-sub-processor-input; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in,,Main L Output; Main R Output; Matrix 2 Output; Sub Processor Input; System Processor L In; System Processor R In,FOH console I/O; Sub processor / crossover input; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Sub Input; Sub Processor Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Do not convert to native patch board.
LIV-006,patch-board,Delay tower route,3,matrix-3-output-to-delay-tower-processor-input; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in,,Delay Tower Processor Input; Main L Output; Main R Output; Matrix 3 Output; System Processor L In; System Processor R In,Delay tower processing; FOH console I/O; System processor / crossover,Broadcast Split L; Broadcast Split R; Delay; Delay Tower Processor Input; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Sub Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-007,patch-board,Broadcast split,2,broadcast-split-l-to-record-out-l; broadcast-split-r-to-record-out-r,,Broadcast Split L; Broadcast Split R; Record Out L; Record Out R,Broadcast / recorder I/O; FOH console I/O,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Record Out L; Record Out R; Talkback Output,Broadcast mono/crossed feed; Crossed Record Out L/R; Main output used as unsafe monitor-source trap; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-008,non-patch-do-not-convert,Talkback to monitor system,2,talkback-mic-to-stage-box-input-14; talkback-output-to-in-ear-b-input,Talkback Mic,In-Ear B Input; Stage Box Input 14; Talkback Output,16-channel stagebox; FOH console I/O; In-Ear Monitoring rack; Stage source stack,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; In-Ear A In; In-Ear A Input; In-Ear B In; In-Ear B Input; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Talkback Mic; Talkback Output,In-Ear A In when B is required; In-Ear B In when A is required; Main output used as unsafe monitor-source trap; Stage Box Input 1 unused false option; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 7 unused false option; Stage Box Input 8 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Do not convert to native patch board.
LIV-009,patch-board,Keyboard stereo inputs,2,keys-l-di-to-stage-box-input-7; keys-r-di-to-stage-box-input-8,Keys L DI; Keys R DI,Stage Box Input 7; Stage Box Input 8,16-channel stagebox; Stage source stack,Keys L DI; Keys R DI; Lead Vocal Mic; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Talkback Mic,Stage Box Input 1 unused false option; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 9 unused false option,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-010,patch-board,Main PA amp feed,4,main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in; system-processor-l-out-to-main-pa-l-input; system-processor-r-out-to-main-pa-r-input,,Main L Output; Main PA L Input; Main PA R Input; Main R Output; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out,FOH console I/O; Main PA amplifier; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Main L Output; Main PA L Input; Main PA R Input; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Sub Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-011,patch-board,Lead Vocal Mic to FOH,5,lead-vocal-mic-to-stage-box-input-11; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in; keys-l-di-to-stage-box-input-7; keys-r-di-to-stage-box-input-8,Keys L DI; Keys R DI; Lead Vocal Mic,Main L Output; Main R Output; Stage Box Input 11; Stage Box Input 7; Stage Box Input 8; System Processor L In; System Processor R In,16-channel stagebox; FOH console I/O; Stage source stack; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Sub Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Mic; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Stage Box Input 1 unused false option; Stage Box Input 10 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-012,patch-board,Vocal wedge mix 4,4,lead-vocal-mic-to-stage-box-input-1; foh-aux-1-output-to-vocal-wedge-input; keys-l-di-to-stage-box-input-7; keys-r-di-to-stage-box-input-8,Keys L DI; Keys R DI; Lead Vocal Mic,FOH Aux 1 Output; Stage Box Input 1; Stage Box Input 7; Stage Box Input 8; Vocal Wedge Input,16-channel stagebox; FOH console I/O; Stage source stack; Vocal wedge monitor,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Talkback Mic; Talkback Output; Vocal Wedge Input,Main output used as unsafe monitor-source trap; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
LIV-013,non-patch-do-not-convert,Stereo IEM send 1,5,foh-aux-5-l-output-to-iem-tx-a-left-input; foh-aux-5-r-output-to-iem-tx-a-right-input; lead-vocal-mic-to-stage-box-input-1; keys-l-di-to-stage-box-input-7; keys-r-di-to-stage-box-input-8,Keys L DI; Keys R DI; Lead Vocal Mic,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; Stage Box Input 1; Stage Box Input 7; Stage Box Input 8,16-channel stagebox; FOH console I/O; IEM transmitter; Stage source stack,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; IEM TX B Left Input; IEM TX B Right Input; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Talkback Mic; Talkback Output,IEM TX wrong pack/input; IEM TX wrong side; Main output used as unsafe monitor-source trap; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Do not convert to native patch board.
LIV-014,non-patch-do-not-convert,Front fill matrix,4,matrix-1-output-to-front-fill-processor-input; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in; lead-vocal-mic-to-stage-box-input-1,Lead Vocal Mic,Front Fill Processor Input; Main L Output; Main R Output; Matrix 1 Output; Stage Box Input 1; System Processor L In; System Processor R In,16-channel stagebox; FOH console I/O; Front-fill processor; Stage source stack; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Front Fill Processor Input; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Sub Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Mic; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 7 unused false option; Stage Box Input 8 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Do not convert to native patch board.
LIV-015,patch-board,Sub matrix feed,4,matrix-2-output-to-sub-processor-input; main-l-output-to-system-processor-l-in; main-r-output-to-system-processor-r-in; lead-vocal-mic-to-stage-box-input-1,Lead Vocal Mic,Main L Output; Main R Output; Matrix 2 Output; Stage Box Input 1; Sub Processor Input; System Processor L In; System Processor R In,16-channel stagebox; FOH console I/O; Stage source stack; Sub processor / crossover input; System processor / crossover,Broadcast Split L; Broadcast Split R; FOH Aux 1 Output; FOH Aux 2 Output; FOH Aux 3 Output; FOH Aux 5 L Output; FOH Aux 5 R Output; Keys L DI; Keys R DI; Lead Vocal Mic; Main L Output; Main R Output; Matrix 1 Output; Matrix 2 Output; Matrix 3 Output; Stage Box Input 1; Stage Box Input 10; Stage Box Input 11; Stage Box Input 12; Stage Box Input 13; Stage Box Input 14; Stage Box Input 15; Stage Box Input 16; Stage Box Input 2; Stage Box Input 3; Stage Box Input 4; Stage Box Input 5; Stage Box Input 6; Stage Box Input 7; Stage Box Input 8; Stage Box Input 9; Sub Input; Sub Processor Input; System Processor L In; System Processor L Out; System Processor R In; System Processor R Out; Talkback Mic; Talkback Output,Crossed System Processor L/R input; Main output used as unsafe monitor-source trap; Processor input patched directly to amp input; Stage Box Input 10 unused false option; Stage Box Input 11 unused false option; Stage Box Input 12 unused false option; Stage Box Input 13 unused false option; Stage Box Input 14 unused false option; Stage Box Input 15 unused false option; Stage Box Input 16 unused false option; Stage Box Input 2 unused false option; Stage Box Input 3 unused false option; Stage Box Input 4 unused false option; Stage Box Input 5 unused false option; Stage Box Input 6 unused false option; Stage Box Input 7 unused false option; Stage Box Input 8 unused false option; Stage Box Input 9 unused false option; Talkback Output used to wrong destination; Wrong aux output; Wrong matrix output,Use normal source-node creation; no boot-time manual DOM source injection.
