level_id,board_type,row_type,route_or_fault_id,source_node,destination_node,source_label,destination_label,asset_ids,required_or_false,scoring_weight,stereo_group,false_route_family,player_feedback_note,implementation_note
LIV-020,patch,required_route,liv020-aux-1-to-iem-pack-1,foh-aux-1-output,iem-pack-1-input,FOH Aux 1 Output,IEM 1 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 1 feeds IEM pack 1.,Mono route only.
LIV-020,patch,required_route,liv020-aux-2-to-iem-pack-2,foh-aux-2-output,iem-pack-2-input,FOH Aux 2 Output,IEM 2 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 2 feeds IEM pack 2.,Mono route only.
LIV-020,patch,required_route,liv020-aux-3-to-iem-pack-3,foh-aux-3-output,iem-pack-3-input,FOH Aux 3 Output,IEM 3 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 3 feeds IEM pack 3.,Mono route only.
LIV-020,patch,required_route,liv020-aux-4-to-iem-pack-4,foh-aux-4-output,iem-pack-4-input,FOH Aux 4 Output,IEM 4 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 4 feeds IEM pack 4.,Mono route only.
LIV-020,patch,required_route,liv020-aux-5-to-iem-pack-5,foh-aux-5-output,iem-pack-5-input,FOH Aux 5 Output,IEM 5 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 5 feeds IEM pack 5.,Mono route only.
LIV-020,patch,false_route,liv020-main-to-iem-trap,foh-main-l-output,iem-pack-1-input,Main L Output,IEM 1 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,main_out_to_monitor,Main outputs feed the PA not a personal monitor mix.,Fair trap because labels are explicit.
LIV-020,patch,false_route,liv020-bus-to-iem-trap,foh-bus-1-output,iem-pack-2-input,Bus 1 Output,IEM 2 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,bus_instead_of_aux,Use aux sends for performer IEM mixes on this board.,Bus output should be visible but secondary.
LIV-020,patch,false_route,liv020-record-to-iem-trap,record-out-l,iem-pack-3-input,Record Out L,IEM 3 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,record_out_to_monitor,Record outputs are not performer monitor sends.,Avoid punishing if record output label is hidden.
LIV-020,patch,false_route,liv020-audio-to-rf-trap,foh-aux-4-output,iem-pack-4-rf-port,FOH Aux 4 Output,IEM 4 RF Port,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,rf_only_port,RF antenna ports are not audio inputs.,Port must be labeled RF or Antenna.
LIV-020,patch,false_route,liv020-wrong-pack-trap,foh-aux-5-output,iem-pack-1-input,FOH Aux 5 Output,IEM 1 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,wrong_iem_pack,That is an audio path but it feeds the wrong performer pack.,Teaches destination identity.
LIV-021,patch,required_route,liv021-aux-1-to-vocal-wedge,foh-aux-1-output,vocal-wedge-input,FOH Aux 1 Output,Vocal Wedge Input,ls_monitor_console_rack|ls_floor_wedge_monitor,required,100,none,none,Aux 1 feeds the vocal wedge.,Mono route.
LIV-021,patch,required_route,liv021-aux-2-to-guitar-wedge,foh-aux-2-output,guitar-wedge-input,FOH Aux 2 Output,Guitar Wedge Input,ls_monitor_console_rack|ls_floor_wedge_monitor,required,100,none,none,Aux 2 feeds the guitar wedge.,Mono route.
LIV-021,patch,required_route,liv021-aux-3-to-sidefill,foh-aux-3-output,sidefill-input,FOH Aux 3 Output,Sidefill Input,ls_monitor_console_rack|ls_sidefill_stack,required,100,none,none,Aux 3 feeds the sidefill coverage speaker.,Sidefill is mono in this board.
LIV-021,patch,false_route,liv021-main-to-sidefill-trap,foh-main-l-output,sidefill-input,Main L Output,Sidefill Input,ls_monitor_console_rack|ls_sidefill_stack,false,0,none,main_out_to_monitor,Main outputs are not the intended monitor send here.,Main L/R must be visibly separate from aux row.
LIV-021,patch,false_route,liv021-record-to-wedge-trap,record-out-l,vocal-wedge-input,Record Out L,Vocal Wedge Input,ls_monitor_console_rack|ls_floor_wedge_monitor,false,0,none,record_out_to_monitor,Record outs are not stage monitor sends.,Good fair trap.
LIV-021,patch,false_route,liv021-wedge-to-sidefill-role-trap,foh-aux-1-output,sidefill-input,FOH Aux 1 Output,Sidefill Input,ls_monitor_console_rack|ls_sidefill_stack,false,0,none,wrong_destination_role,That mix is intended for the vocal wedge not the sidefill.,Role hint can come from checklist copy.
LIV-021,patch,false_route,liv021-sidefill-to-wedge-role-trap,foh-aux-3-output,guitar-wedge-input,FOH Aux 3 Output,Guitar Wedge Input,ls_monitor_console_rack|ls_floor_wedge_monitor,false,0,none,wrong_destination_role,That send is intended for sidefill coverage not the guitar wedge.,Role mismatch should be incorrect.
LIV-021,patch,false_route,liv021-link-port-trap,foh-aux-2-output,sidefill-link-port,FOH Aux 2 Output,Sidefill Link Port,ls_monitor_console_rack|ls_sidefill_stack,false,0,none,link_or_service_port,Use the Sidefill Input not the link port.,Link port must be clearly labeled.
LIV-022,diagnosis,diagnosis_fault,liv022-actual-bus-1-feeds-performer,foh-bus-1-output,performer-iem-input,Bus 1 Band Mix,Performer IEM Input,ls_monitor_send_fault_scene,required,100,none,wrong_bus,Performer hears the band mix because Bus 1 is feeding the IEM.,Diagnosis-only no patch route.
LIV-022,diagnosis,diagnosis_expected,liv022-expected-aux-2-feeds-performer,foh-aux-2-output,performer-iem-input,Aux 2 Vocal Mix,Performer IEM Input,ls_monitor_send_fault_scene,required,100,none,none,Correct fix is to feed the performer from Aux 2.,Use as answer/fix target.
LIV-022,diagnosis,false_answer,liv022-blame-main-pa,foh-main-l-output,main-pa-input,Main L Output,Main PA Input,ls_monitor_send_fault_scene,false,0,none,main_out_misdiagnosis,The PA main output is not causing the wrong IEM mix.,Answer option only.
LIV-022,diagnosis,false_answer,liv022-blame-record-feed,record-out-l,record-input-l,Record Out L,Recorder Input L,ls_monitor_send_fault_scene,false,0,none,record_out_misdiagnosis,The record feed is not the performer monitor path.,Answer option only.
LIV-022,diagnosis,false_answer,liv022-blame-rf-port,rf-antenna-port,performer-iem-rf,RF Antenna Port,IEM RF Port,ls_monitor_send_fault_scene,false,0,none,rf_only_port,RF is not the audio mix source in this fault.,Answer option only.
LIV-022,diagnosis,false_answer,liv022-turn-up-mix,monitor-level-control,performer-iem-input,Monitor Level,Performer IEM Input,ls_monitor_send_fault_scene,false,0,none,level_not_route_fault,Turning it up does not fix the wrong mix source.,Answer option only.
LIV-023,patch,required_route,liv023-aux-1-to-drum-fill,monitor-aux-1-output,drum-fill-input,Monitor Aux 1 Output,Drum Fill Input,ls_monitor_console_rack|ls_drum_fill_speaker,required,100,none,none,Aux 1 feeds the drummer fill.,Mono route.
LIV-023,patch,required_route,liv023-aux-2-to-sidefill,monitor-aux-2-output,sidefill-input,Monitor Aux 2 Output,Sidefill Input,ls_monitor_console_rack|ls_sidefill_stack,required,100,none,none,Aux 2 feeds sidefill coverage.,Mono route.
LIV-023,patch,required_route,liv023-aux-3-to-vocal-wedge,monitor-aux-3-output,vocal-wedge-input,Monitor Aux 3 Output,Vocal Wedge Input,ls_monitor_console_rack|ls_floor_wedge_monitor,required,100,none,none,Aux 3 feeds the vocal wedge.,Mono route.
LIV-023,patch,false_route,liv023-drum-to-sidefill-trap,monitor-aux-1-output,sidefill-input,Monitor Aux 1 Output,Sidefill Input,ls_monitor_console_rack|ls_sidefill_stack,false,0,none,wrong_destination_role,The drummer fill mix should not feed sidefill.,Intent mismatch.
LIV-023,patch,false_route,liv023-sidefill-to-vocal-trap,monitor-aux-2-output,vocal-wedge-input,Monitor Aux 2 Output,Vocal Wedge Input,ls_monitor_console_rack|ls_floor_wedge_monitor,false,0,none,wrong_destination_role,The sidefill send should not feed the vocal wedge.,Intent mismatch.
LIV-023,patch,false_route,liv023-vocal-to-drum-trap,monitor-aux-3-output,drum-fill-input,Monitor Aux 3 Output,Drum Fill Input,ls_monitor_console_rack|ls_drum_fill_speaker,false,0,none,wrong_destination_role,The vocal wedge mix should not feed the drum fill.,Intent mismatch.
LIV-023,patch,false_route,liv023-main-to-drum-fill-trap,foh-main-l-output,drum-fill-input,Main L Output,Drum Fill Input,ls_monitor_console_rack|ls_drum_fill_speaker,false,0,none,main_out_to_monitor,Main outputs are not monitor sends here.,Use fair label placement.
LIV-023,patch,false_route,liv023-record-to-sidefill-trap,record-out-l,sidefill-input,Record Out L,Sidefill Input,ls_monitor_console_rack|ls_sidefill_stack,false,0,none,record_out_to_monitor,Record outputs do not feed stage sidefills.,Use fair label placement.
LIV-023,patch,false_route,liv023-thru-port-trap,monitor-aux-3-output,vocal-wedge-thru,Monitor Aux 3 Output,Vocal Wedge Thru,ls_monitor_console_rack|ls_floor_wedge_monitor,false,0,none,link_or_service_port,Use the wedge input not the thru jack.,Thru label must be visible.
